index,time,IP,PD,GWfr,GWfr_avg,FIR,TDAI,WP,LHD_label,ELM_label
33,1.5136,-1010638.99999999,5987744562286.73,0.143015647315843,0.143015647315843,4.52561300503485e+18,5987744562286.73,161706.105587787,1,1
34,1.5142,-1010319.43749998,5834304577059.55,0.146445463233148,0.146445463233148,4.63167747656799e+18,5834304577059.55,162036.509557249,1,1
35,1.5148,-1009512.5,6096159775958.74,0.149777475976985,0.149777475976985,4.73546916001649e+18,6096159775958.74,163825.492274806,1,1
36,1.5154,-1011692.18749999,6176532665562.15,0.15300939054884,0.15300939054884,4.83693472331461e+18,6176532665562.15,165614.474992363,1,1
37,1.516,-1009253.75000012,6166428780881.47,0.155884568555212,0.155884568555212,4.92717868611466e+18,6166428780881.47,167401.557638094,1,1
38,1.5166,-1011131.74999999,6078677051631.33,0.158609961726755,0.158609961726755,5.01271327107681e+18,6078677051631.33,168207.463192379,1,1
39,1.5172,-1010448.24999997,6053326751091.24,0.160944676077135,0.160944676077135,5.08597036377138e+18,6053326751091.24,169013.368746665,1,1
40,1.5178,-1009230.9375,6151193215013.2,0.163004259092377,0.163004259092377,5.14883549822812e+18,6151193215013.2,169819.274300951,1,1
41,1.5184,-1011029.56249999,6170635276913.03,0.164778156664404,0.164778156664404,5.2009100362828e+18,6170635276913.03,171036.823664119,1,1
42,1.519,-1010618.68749993,6150405626859.97,0.165985583429471,0.165985583429471,5.23219341485302e+18,6150405626859.97,172462.606870226,1,1
43,1.5196,-1011729.18749998,6213423793375.75,0.166944472148696,0.166944472148696,5.25499595058435e+18,6213423793375.75,173888.390076333,1,1
44,1.5202,-1010469.99999999,6211399482797.12,0.167191929926838,0.167191929926838,5.2552441367403e+18,6211399482797.12,174047.381923669,1,1
45,1.5208,-1010194.8125,6078561691724.73,0.167064903191551,0.167064903191551,5.24370768499412e+18,6078561691724.73,171664.072732829,1,1
46,1.5214,-1010333.1875,6017520813435.82,0.166543366033025,0.166543366033025,5.21975640080547e+18,6017520813435.82,169280.76354199,1,1
47,1.522,-1010568.75,5992568561938.33,0.165448780021108,0.165448780021108,5.1798699546238e+18,5992568561938.33,166901.013129769,1,1
48,1.5226,-1010981.62500001,6168516756105.62,0.164125527173689,0.164125527173689,5.13363092981434e+18,6168516756105.62,167849.534167937,1,1
49,1.5232,-1010695.50000001,6193036557530.12,0.162237795698886,0.162237795698886,5.07172828599085e+18,6193036557530.12,168798.055206105,1,1
50,1.5238,-1010364.25000002,5917386999057.2,0.160259447576302,0.160259447576302,5.00774792635593e+18,5917386999057.2,169746.576244273,1,1
51,1.5244,-1011441.18749999,6113054724011.89,0.158186680603528,0.158186680603528,4.94160267160799e+18,6113054724011.89,169398.028800002,1,1
52,1.525,-1012438.75000003,6541319937878.94,0.156364982364563,0.156364982364563,4.88444262625718e+18,6541319937878.94,168409.371428573,1,1
53,1.5256,-1012418.93750001,6241037638780.44,0.154666612456848,0.154666612456848,4.83107274282726e+18,6241037638780.44,167420.714057145,1,1
54,1.5262,-1012768.3125,6008142453973.23,0.153344227071647,0.153344227071647,4.78767646936138e+18,6008142453973.23,167106.491114502,1,1
55,1.5268,-1013014.1875,5914755832545.96,0.1522075608737,0.1522075608737,4.74913109929143e+18,5914755832545.96,168151.064916028,1,1
56,1.5274,-1012779.31250001,5975494639525.46,0.151267223723037,0.151267223723037,4.71571375748968e+18,5975494639525.46,169195.638717555,1,1
57,1.528,-1014784.49999999,6113540373979.48,0.150482094137309,0.150482094137309,4.69045839826341e+18,6113540373979.48,170240.068396946,1,1
58,1.5286,-1014441.5,6236910614547.05,0.149781806938514,0.149781806938514,4.66916767953256e+18,6236910614547.05,170576.253068702,1,1
59,1.5292,-1015467.74999997,6230889188908.73,0.149359591345063,0.149359591345063,4.65978250544364e+18,6230889188908.73,170912.437740457,1,1
60,1.5298,-1015480.06250001,5967383148839.3,0.149179459899181,0.149179459899181,4.65725895469267e+18,5967383148839.3,171248.622412213,1,1
61,1.5304,-1016263.49999999,6171581565546.45,0.149265669114897,0.149265669114897,4.66228455293732e+18,6171581565546.45,170258.139428575,1,1
62,1.531,-1015468.5625,6605055114510.74,0.14961183349123,0.14961183349123,4.67426432949306e+18,6605055114510.74,168610.37714286,1,1
63,1.5316,-1014810.75000001,6212970626757.95,0.150047661327275,0.150047661327275,4.68896108090256e+18,6212970626757.95,166962.614857146,1,1
64,1.5322,-1016744.31249996,5948536479500.58,0.150663682066263,0.150663682066263,4.70996426526347e+18,5948536479500.58,165886.812854962,1,1
65,1.5328,-1016555.125,5942287833218.26,0.151279600138161,0.151279600138161,4.73138015799939e+18,5942287833218.26,165967.857374046,1,1
66,1.5334,-1016351.18750001,6210571139338.18,0.151895412037666,0.151895412037666,4.75322284996677e+18,6210571139338.18,166048.90189313,1,1
67,1.534,-1016318.87499998,6617096678966.77,0.152361739196134,0.152361739196134,4.7675469363047e+18,6617096678966.77,166129.946412214,1,1
68,1.5346,-1016612.56249999,6475660008588.29,0.152779047871392,0.152779047871392,4.77918985950623e+18,6475660008588.29,166106.002687023,1,1
69,1.5352,-1017374.18749995,6429242266297.94,0.153104566543661,0.153104566543661,4.78508455427508e+18,6429242266297.94,166081.989496183,1,1
70,1.5358,-1017833.49999993,6573369355957.71,0.153293170482524,0.153293170482524,4.78934053391966e+18,6573369355957.71,166057.976305344,1,1
71,1.5364,-1017542.81249998,6609700263950.62,0.153338124117839,0.153338124117839,4.79187718125298e+18,6609700263950.62,166132.189038168,1,1
72,1.537,-1017665.6875,6592119895931.12,0.15340525275021,0.15340525275021,4.79943470784493e+18,6592119895931.12,166255.256641221,1,1
